field,pi_record_no,place,same as,part of
prev_own_loc_1,K-20280,Paris,tgn/7008038,
prev_own_loc_1,K-20281,Paris,tgn/7008038,
prev_own_loc_1,K-20344,Brussels,tgn/7007868,
prev_own_loc_1,K-20935,Philadelphia,tgn/7014406,
prev_own_loc_1,K-21023,"Bylaugh Hall, Norfolk",,tgn/7008160
prev_own_loc_1,K-22429,Enfield,tgn/7014117,
prev_own_loc_1,K-22708,Macon,tgn/7013980,
prev_own_loc_1,K-22773,Waltham,tgn/7014579,
prev_own_loc_1,K-22886,Devonshire,tgn/7012077,
prev_own_loc_1,K-22991,Manchester,tgn/7010477,
prev_own_loc_1,K-23005,Lembourne Berks Eng.,,tgn/7008101
prev_own_loc_1,K-23006,Brussels,tgn/7007868,
prev_own_loc_1,K-23007,Paris,tgn/7008038,
prev_own_loc_1,K-23009,NY,tgn/7007567,
prev_own_loc_1,K-23010,Paris,tgn/7008038,
prev_own_loc_1,K-23012,Paris,tgn/7008038,
prev_own_loc_1,K-23014,Paris,tgn/7008038,
prev_own_loc_1,K-23015,Paris,tgn/7008038,
prev_own_loc_1,K-23026,Brussels,tgn/7007868,
prev_own_loc_1,K-23027,Paris,tgn/7008038,
prev_own_loc_1,K-23028,Edinburgh,tgn/7009546,
prev_own_loc_1,K-23566,London,tgn/7011781,
prev_own_loc_1,K-23567,London,tgn/7011781,
prev_own_loc_1,K-23568,London,tgn/7011781,
prev_own_loc_1,K-23569,London,tgn/7011781,
prev_own_loc_1,K-23570,London,tgn/7011781,
prev_own_loc_1,K-23571,London,tgn/7011781,
prev_own_loc_1,K-23572,London,tgn/7011781,
prev_own_loc_1,K-23573,London,tgn/7011781,
prev_own_loc_1,K-23574,London,tgn/7011781,
prev_own_loc_1,K-23575,London,tgn/7011781,
prev_own_loc_1,K-23576,London,tgn/7011781,
prev_own_loc_1,K-23577,London,tgn/7011781,
prev_own_loc_1,K-23578,London,tgn/7011781,
prev_own_loc_1,K-23579,London,tgn/7011781,
prev_own_loc_1,K-23580,London,tgn/7011781,
prev_own_loc_1,K-23581,London,tgn/7011781,
prev_own_loc_1,K-23582,London,tgn/7011781,
prev_own_loc_1,K-23583,London,tgn/7011781,
prev_own_loc_1,K-23584,London,tgn/7011781,
prev_own_loc_1,K-23585,London,tgn/7011781,
prev_own_loc_1,K-23586,London,tgn/7011781,
prev_own_loc_1,K-23587,London,tgn/7011781,
prev_own_loc_1,K-23588,London,tgn/7011781,
prev_own_loc_1,K-23589,London,tgn/7011781,
prev_own_loc_1,K-23590,London,tgn/7011781,
prev_own_loc_1,K-23591,London,tgn/7011781,
prev_own_loc_1,K-23592,London,tgn/7011781,
