loc_verbatim,loc_name,loc_auth,,
"19 rue Saint François de Paul, Nice",19 rue Saint François de Paul,"Nice, France",,
19 rue Spontini,19 rue Spontini,"Paris, France",,
"19 Villa Chaptal, Neuilly Levallois",19 Villa Chaptal,"Neuilly sur Seine, France",,
"191 via Nazionale, Rome",191 via Nazionale,"Rome, Italy",,
2 avenue Hoche,2 avenue Hoche,"Paris, France",,
2 avenue Montaignac,2 avenue Montaigne,"Paris, France",,
2 avenue Montaigne,2 avenue Montaigne,"Paris, France",,
2 rue Caumartin,2 rue Caumartin,"Paris, France",,
"2 Rue Croix des Vignes, Gennevilliers",2 rue Croix des Vignes,Gennevilliers,,
2 rue de Franqueville,2 rue de Franqueville,"Paris, France",,
2 Rue de la Chaussée d'Antin,2 rue de la Chaussée d'Antin,"Paris, France",,
2 rue du  Marotant,2 rue du Marotant,France,,
2 Rue du Melour,2 rue du Melour,France,,
2 rue Gluck,2 rue Glück,"Paris, France",,
2 Rue Gluck,2 rue Glück,"Paris, France",,
2 rue Glück,2 rue Glück,"Paris, France",,
2 Rue Glück,2 rue Glück,"Paris, France",,
2 rue La Boëtie,2 rue La Boétie,"Paris, France",,
2 rue Laffitte,2 rue Laffitte,"Paris, France",,
2 rue Sully Prud'homme,2 avenue Sully Prudhomme,"Paris, France",,
2 rue Tronchet,2 rue Tronchet,"Paris, France",,
"2, avenue Montaigne",2 avenue Montaigne,"Paris, France",,
20 Boulevard Flandrin,20 boulevard Flandrin,"Paris, France",,
20 chausée d'Antin,20 Chaussée d'Antin,"Paris, France",,
20 Chaussée d'Antin,20 Chaussée d'Antin,"Paris, France",,
20 place Vendome,20 Place Vendôme,"Paris, France",,
20 rue  des Capucines,20 rue des Capucines,"Paris, France",,
20 Rue d'Aumale,20 rue d'Aumale,"Paris, France",,
20 rue de l'Arcade,20 rue de l'Arcade,"Paris, France",,
20 Rue de l'Entrepot,20 rue de l'Entrepot,"Dieppe, France",,
20 rue de l'entrepôt,20 rue de l'Entrepot,"Dieppe, France",,
20 rue de l'Entrepôt,20 rue de l'Entrepot,"Dieppe, France",,
"20 rue de la Capuchines, Paris, France",20 rue de la Capucines,"Paris, France",,
20 Rue de la chaussée d'Antin,20 rue de la Chaussée d'Antin,"Paris, France",,
20 Rue de la Chaussée dAntin,20 rue de la Chaussée d'Antin,"Paris, France",,
20 rue des Capucines,20 rue des Capucines,"Paris, France",,
20 Rue des Capucines,20 rue des Capucines,"Paris, France",,
"20 rue des Capucines, Paris, France",20 rue des Capucines,"Paris, France",,
20 rue des Caumartin,20 rue Caumartin,"Paris, France",,
20 rue Eugène Plachat,20 rue Eugène Flachat,"Paris, France",,
20 rue Grignan,20 rue Grignan,"Marseille, France",,
"20 rue Littré, Paris",20 rue Littré,"Paris, France",,
"20 rue Montgrand, Marseille",20 rue Montgrand,"Marseille, France",,
"20 Rue Montgrand, Marseille",20 rue Montgrand,"Marseille, France",,
20 rue Pigalle,20 rue Pigalle,"Paris, France",,
203 bis Boulevard Saint Germain,203 bis boulevard Saint Germain,"Paris, France",,
"204 Fifth avenue, New York",204 Fifth avenue,"New York, NY, USA",,
207 Boulevard Saint Germain,207 boulevard Saint Germain,"Paris, France",,
21 Boulevard Montmartre,21 boulevard Montmartre,"Paris, France",,
21 Quai d'Orléans,21 quai d'Orléans,"Paris, France",,
21 quai Malaquais,21 quai Malaquais,"Paris, France",,
21 Quai Malaquais,21 quai Malaquais,"Paris, France",,
21 quai Voltaire,21 quai Voltaire,"Paris, France",,
21 Quai Voltaire,21 quai Voltaire,"Paris, France",,
21 route Bourgogne,21 rue Bourgogne,"Paris, France",,
"21 rue de la Pépinière, Paris",21 rue de la Pépinière,"Paris, France",,
"22 Calle Fernando El Santo, Madrid",22 Calle Fernando El Santo,"Madrid, Spain",,
22 Cour la reine,22 Cours La Reine,"Paris, France",,
22 Cours-La-Reine,22 Cours La Reine,"Paris, France",,
22 Faubourg Saint Honoré,22 Faubourg Saint Honoré,"Paris, France",,
22 Rue Bergère,22 rue Bergère,"Paris, France",,
22 rue de la Pépinière,22 rue de la Pépinière,"Paris, France",,
22 rue de la Tour d'Auvergne,22 rue de la Tour d'Auvergne,"Paris, France",,
22 Rue de la Tour d'Auvergne,22 rue de la Tour d'Auvergne,"Paris, France",,
22 Rue de Toulaque,22 rue de Tourlaque,"Paris, France",,
22 Rue de Vernaud,22 rue de Vernaud,France,,
22 rue des Capucines,22 rue des Capucines,"Paris, France",,
22 Rue Labruyère,22 rue la Bruyère,"Paris, France",,
22 Rue Laffitte,22 rue Laffitte,"Paris, France",,
"22 Rue Masley, Tarbes",22 rue Masley,"Tarbes, France",,
22 Rue Saint Augustin,22 rue Saint Augustin,"Paris, France",,
"22 rue Saint Etienne, Toulouse",22 rue Saint Etienne,"Toulouse, France",,
22 rue Vintimille,22 rue Vintimille,"Paris, France",,
"22 Stohgasse, Vienna",22 Stohgasse,"Vienna, Austria",,
"22 Strohgasse, Vienna",22 Strohgasse,"Vienna, Austria",,
23 Avenue du Bois de Boulogne,23 avenue du Bois de Boulogne,"Paris, France",,
23 Boulevard de Clichy,23 boulevard de Clichy,"Paris, France",,
23 Boulevard Malesherbes,23 boulevard Malesherbes,"Paris, France",,
"23 Boulevard Vauban, lille",23 boulevard Vauban,"Lille, France",,
"23 Boulevard Vauban, Lille",23 boulevard Vauban,"Lille, France",,
23 Chaussée d'Antin,23 Chaussée d'Antin,"Paris, France",,
23 Place Vendôme,23 Place Vendôme,"Paris, France",,
"23 Place Vendôme, New York",23 Place Vendôme; New York,"[multiple locations] Paris, France; New York, NY, USA",,
23 Rue d'Amaillé,23 rue d'Amaillé,"Paris, France",,
23 Rue de la Pépinière,23 rue de la Pépinière,"Paris, France",,
23 Rue du Mail,23 rue du Mail,"Paris, France",,
23 rue Fontaine,23 rue Fontaine,"Paris, France",,
23 Rue Galilée,23 rue Galilée,"Paris, France",,
23 Rue Ruhmkorff,23 rue Ruhmkorff,"Paris, France",,
